职称 地区 公司资质 要求 薪资 福利
Python开发工程师（工作地：石家庄） 北京-海淀区 "民营公司 " " 本科  2年" 6-9千/月 " 带薪年假 五险一金 绩效奖金 全勤奖 "
Python中高级开发岗 上海-长宁区 "民营公司 " " 本科  3-4年" 1.8-3万/月 " 五险一金 员工旅游 定期体检 股票期权 "
Python开发工程师 上海-长宁区 "外资（欧美） " " 本科  1年" 1.5-2万/月 " 五险一金 补充医疗保险 员工旅游 年终奖金 "
Python高级开发工程师 上海-浦东新区 "民营公司 " " 大专  3-4年" 2.5-3万/月 " "
Python开发工程师(图像算法/系统研发/数据分析) 北京-朝阳区 "外资（非欧美） " " 大专  2年" 1.5-3万/月 " 五险一金 补充医疗保险 交通补贴 餐饮补贴 "
大数据算法工程师Python 广州-天河区 "民营公司 " " 本科  3-4年" 2-2.5万/月 " 五险一金 周末双休 专业培训 "
python后端开发工程师 北京-朝阳区 "国企 " " 本科  3-4年" 1.5-2.5万/月 " 周末双休 带薪年假 五险一金 专业培训 "
Python开发工程师 广州 "民营公司 " " 本科  2年" 4.5-6千/月 " 周末双休 五险 年终奖金 绩效奖金 "
"Python Web开发工程师" 上海-徐汇区 "民营公司 " " 本科  3-4年" 2-3.5万/月 " 五险一金 员工旅游 交通补贴 餐饮补贴 "
"Python后端开发 Backend Developer" 上海 "外资（欧美） " " 本科  3-4年" 2.4-3.2万/月 " 五险一金 餐饮补贴 弹性工作 补充医疗保险 "
高级Python开发工程师 广州-天河区 "民营公司 " " 本科  3-4年" 1.5-2万/月 " 五险一金 员工旅游 年终奖金 绩效奖金 "
Python开发工程师 深圳-南山区 "民营公司 " " 大专  3-4年" 1.5-2万/月 " "
Python开发工程师 北京-海淀区 "民营公司 " " 本科  1年" 0.8-1万/月 " "
python爬虫高级工程师 深圳-南山区 "民营公司 " " 本科  3-4年" 1.6-2.5万/月 " 绩效奖金 五险一金 节日福利 餐饮补贴 "
Python服务端开发工程师 上海-徐汇区 "民营公司 " " 本科  2年" 1.5-2万/月 " 五险一金 全勤奖 周末双休 员工旅游 "
Python开发工程师 广州-番禺区 "民营公司 " " 本科  2年" 0.7-1万/月 " 五险一金 专业培训 绩效奖金 员工旅游 "
Python软件工程师 北京-西城区 "上市公司 " " 本科  3-4年" 2-2.5万/月 " "
智慧金融-软件开发工程师（python）-JR211207 北京-西城区 "国企 " " 本科  5-7年" 2.5-5万/月 " 五险一金 补充医疗保险 交通补贴 餐饮补贴 "
python后端开发工程师 深圳-南山区 "上市公司 " " 本科  3-4年" 1.5-2万/月 " 股票期权 定期体检 五险一金 绩效奖金 "
Python高级开发工程师 上海-浦东新区 "创业公司 " " 本科  5-7年" 2-3万/月 " "
高级Python开发工程师(J10261) 上海 "上市公司 " " 大专  5-7年" 2-3万/月 " 五险一金 补充公积金 年终奖金 专业培训 "
Python开发工程师 深圳-宝安区 "民营公司 " " 本科  5-7年" 1.5-3万/月 " 五险一金 午餐补贴 项目奖金 通讯补贴 "
Python开发工程师 北京-朝阳区 "民营公司 " " 硕士  3-4年" 4-5万/月 " "
Python开发工程师 上海-浦东新区 "民营公司 " " 大专  3-4年" 1.5-2万/月 " 五险一金 绩效奖金 年终奖金 弹性工作 "
"Python WEB 工程师" 广州-海珠区 "民营公司 " " 大专  1年" 0.5-1万/月 " 五险一金 绩效奖金 年终奖金 股票期权 "
Python开发工程师 上海-浦东新区 "民营公司 " " 本科  无需经验" 1.5-3万/月 " "
Python开发工程师 上海-浦东新区 "上市公司 " " 本科  2年" 1.5-2万/月 " 年终奖金 绩效奖金 五险一金 餐饮补贴 "
Python爬虫工程师 深圳-南山区 "民营公司 " " 本科  3-4年" 1.5-2万/月 " 五险一金 弹性工作 专业技术团队 补充医疗保险 "
Python开发工程师 上海-浦东新区 "民营公司 " " 大专  2年" 1.5-1.8万/月 " 五险一金 员工旅游 节日福利 专业培训 "
Python开发工程师 上海-黄浦区 "民营公司 " " 本科  3-4年" 1.5-2万/月 " 五险一金 年终奖金 绩效奖金 "
中级python算法工程师 上海-杨浦区 "民营公司 " " 本科  2年" 1.5-2.5万/月 " 五险一金 员工旅游 年终奖金 专业培训 "
技术研究（Python方向） 广州-荔湾区 "民营公司 " " 本科  1年" 0.8-1万/月 " 五险一金 员工旅游 餐饮补贴 绩效奖金 "
Python开发工程师 上海-浦东新区 "民营公司 " " 本科  3-4年" 1.5-2万/月 " "
Python开发工程师 上海-浦东新区 "外资（欧美） " " 大专  2年" 1.5-2万/月 " 领导NICE 五险一金 成长空间 一线平台 "
Python工程师 深圳-南山区 "民营公司 " " 本科  3-4年" 2-4万/月 " "
Python高级后台开发工程师（腾讯云平台，非外包） 深圳-南山区 "民营公司 " " 本科  5-7年" 2-3万/月 " 五险一金 补充医疗保险 员工旅游 年终奖金 "
PYTHON开发（价格预测方向） 北京-丰台区 "民营公司 " " 本科  3-4年" 1.5-3万/月 " 五险一金 员工旅游 餐饮补贴 年终奖金 "
Python开发工程师 北京-海淀区 "民营公司 " " 本科  无需经验" 1.5-2万/月 " 五险一金 补充医疗保险 补充公积金 免费班车 "
Python开发工程师 上海-黄浦区 "合资 " " 本科  3-4年" 1.5-2万/月 " "
Python开发工程师 上海-浦东新区 "外资（欧美） " " 本科  2年" 1.5-2.5万/月 " "
Python开发工程师 深圳-南山区 "民营公司 " " 本科  3-4年" 1.5-2万/月 " 五险一金 员工旅游 年终奖金 绩效奖金 "
Python开发工程师 广州-天河区 "民营公司 " " 1年" 0.8-1万/月 " 五险一金 交通补贴 餐饮补贴 专业培训 "
Python开发工程师 深圳 "外资（非欧美） " " 本科  无需经验" 1.5-3万/月 " 五险一金 交通补贴 绩效奖金 年终奖金 "
Python开发工程师 上海-黄浦区 "民营公司 " " 本科  3-4年" 1.5-2.5万/月 " 做五休二 带薪年假 五险一金 绩效奖金 "
后端Python开发工程师 上海-浦东新区 "民营公司 " " 大专  3-4年" 1.8-2.2万/月 " 周末双休 五险一金 年终奖金 团建 "
Python开发工程师 上海-长宁区 "民营公司 " " 本科  无需经验" 1.8-3.6万/月 " 五险一金 补充医疗保险 员工旅游 通讯补贴 "
1141C7-Python后端开发工程师 北京-朝阳区 "民营公司 " " 本科  3-4年" 30-40万/年 " 五险一金 绩效奖金 年底双薪 带薪年假 "
"Python 工程师" 上海-徐汇区 "民营公司 " " 本科  2年" 0.8-1万/月 " 五险一金 员工旅游 专业培训 年终奖金 "
初级python开发工程师 广州-天河区 "合资 " " 大专  1年" 4.5-8千/月 " 五险一金 弹性工作 绩效奖金 "
Python后端开发工程师（双休） 深圳-龙岗区 "民营公司 " " 大专  无需经验" 7-9千/月 " 做五休二 周末双休 五险一金 全勤奖 "
python工程师 深圳-宝安区 "民营公司 " " 3-4年" 1.5-2万/月 " 五险一金 补充医疗保险 定期体检 员工旅游 "
Python开发工程师T 上海-浦东新区 "上市公司 " " 大专  3-4年" 1.7-2万/月 " 五险一金 周末双休 "
Python开发工程师（AI项目） 深圳-南山区 "民营公司 " " 本科  2年" 1.8-2.5万/月 " "
Python开发工程师 上海-静安区 "国企 " " 大专  3-4年" 1.5-2万/月 " 绩效奖金 年终奖金 专业培训 六险一金 "
Python开发工程师 上海-浦东新区 "民营公司 " " 本科  3-4年" 1.8-3.5万/月 " 五险一金 弹性工作 定期体检 员工旅游 "
Python开发工程师 深圳-宝安区 "民营公司 " " 本科  3-4年" 1.5-3万/月 " 五险一金 员工旅游 股票期权 弹性工作 "
Python开发工程师 上海-徐汇区 "民营公司 " " 大专  2年" 1.5-2.5万/月 " 五险一金 员工旅游 专业培训 绩效奖金 "
Python开发工程师 深圳-南山区 "民营公司 " " 本科  3-4年" 1.5-2万/月 " "
30万求Python开发工程师 上海-浦东新区 "外资（非欧美） " " 本科  2年" 1.5-2.5万/月 " 做五休二 周末双休 弹性工作 绩效奖金 "
"Python Developer" 北京-朝阳区 "民营公司 " " 本科  5-7年" 30-40万/年 " 五险一金 补充医疗保险 专业培训 年终奖金 "
Python开发工程师 广州-黄埔区 "民营公司 " " 本科  2年" 0.8-1万/月 " "
Python开发工程师（图像算法方向） 广州-黄埔区 "民营公司 " " 本科  3-4年" 1.5-2万/月 " 五险一金 餐饮补贴 弹性工作 定期体检 "
Python开发工程师 上海-浦东新区 "民营公司 " " 本科  3-4年" 1.5-2.5万/月 " "
"Python工程师 (MJ000527)" 深圳-南山区 "上市公司 " " 本科  3-4年" 1.5-2.5万/月 " "
"软件开发工程师 Python" 上海-杨浦区 "民营公司 " " 本科  3-4年" 2-4万/月 " "
Python高级开发工程师 北京-朝阳区 "民营公司 " " 本科  5-7年" 2-4万/月 " "
Python开发工程师 深圳-宝安区 "民营公司 " " 本科  3-4年" 1.5-2.5万/月 " 五险一金 年终奖金 绩效奖金 弹性工作 "
"Python 开发工程师" 深圳 "民营公司 " " 本科  3-4年" 1.5-2万/月 " 五险一金 年终奖金 绩效奖金 定期体检 "
"python 资深开发工程师" 上海-杨浦区 "合资 " " 本科  2年" 3-6万/月 " 五险一金 补充医疗保险 员工旅游 餐饮补贴 "
Python开发工程师 北京-海淀区 "国企 " " 本科  3-4年" 1.5-2.2万/月 " 五险一金 补充医疗保险 年终奖金 定期体检 "
初级Python/R开发工程师 上海-浦东新区 "民营公司 " " 大专  1年" 0.8-1万/月 " 五险一金 餐饮补贴 绩效奖金 员工旅游 "
Python开发工程师 北京-石景山区 "民营公司 " " 大专  3-4年" 1.5-1.7万/月 " 五险一金 不加班 周末双休 节日福利 "
Python开发工程师 上海-杨浦区 "民营公司 " " 本科  1年" 1.5-2万/月 " 年终奖金 周末双休 节日福利 扁平化管理 "
少儿编程Python/Scratch老师 广州-番禺区 "民营公司 " " 本科  无需经验" 4-7千/月 " 做五休二 弹性工作 带薪年假 五险一金 "
Python高级后台开发工程师 深圳-宝安区 "民营公司 " " 大专  3-4年" 1.5-2.2万/月 " 五险一金 餐饮补贴 通讯补贴 绩效奖金 "
Python架构师 深圳-龙岗区 "民营公司 " " 本科  5-7年" 2-4万/月 " 五险一金 员工旅游 餐饮补贴 年底双薪 "
Python高级开发工程师 广州-天河区 "上市公司 " " 本科  3-4年" 1.8-3万/月 " "
Python开发工程师 上海-浦东新区 "民营公司 " " 本科  3-4年" 1.6-2万/月 " 五险一金 周末双休 带薪年假 "
Python开发工程师 上海-浦东新区 "民营公司 " " 本科  1年" 1.5-3万/月 " "
Python开发工程师 北京 "事业单位 " " 本科  3-4年" 1.5-2.5万/月 " "
Python开发工程师 广州-天河区 "民营公司 " " 大专  1年" 5-7千/月 " 带薪年假 五险一金 绩效奖金 全勤奖 "
Python开发工程师 深圳-南山区 "上市公司 " " 本科  3-4年" 2.5-5万/月 " "
Python开发工程师 上海 "外资（非欧美） " " 大专  无需经验" 6-8千/月 " 五险一金 员工旅游 交通补贴 年终奖金 "
Python信息技术工程师 广州-增城区 "民营公司 " " 大专  1年" 6-8千/月 " "
python中高级开发工程师 北京-朝阳区 "上市公司 " " 本科  5-7年" 1.8-2.8万/月 " 15薪 五险一金 补充医疗保险 免费班车 "
Python开发工程师 上海-浦东新区 "外资（非欧美） " " 本科  3-4年"  " 五险一金 补充商业保险 交通补贴 餐饮补贴 "
Python开发工程师 深圳-光明区 "上市公司 " " 大专  5-7年" 1.5-2.5万/月 " "
"软件工程师 (Python)" 深圳-南山区 "创业公司 " " 本科  2年" 1.6-3.2万/月 " 包午餐 周末双休 弹性工作 带薪年假 "
Python研发工程师 深圳-龙岗区 "民营公司 " " 大专  2年" 1.5-2.5万/月 " 餐饮补贴 通讯补贴 交通补贴 六险 "
Python开发工程师 上海-静安区 "外资（欧美） " " 大专  3-4年" 1.5-2万/月 " 绩效奖金 年终奖金 定期体检 六险一金 "
Python工程师 深圳-龙华区 "民营公司 " " 本科  2年" 1.5-2万/月 " "
Python开发工程师 上海-杨浦区 "民营公司 " " 本科  2年" 0.8-1万/月 " "
Python开发工程师（周末双休） 广州-番禺区 "创业公司 " " 大专  1年" 6-8千/月 " 周末双休 年终奖金 股票期权 弹性工作 "
Python开发工程师 上海-黄浦区 "上市公司 " " 本科  3-4年" 1.5-2万/月 " "
Python工程师 上海-浦东新区 "民营公司 " " 本科  3-4年" 1.5-2万/月 " 五险一金 绩效奖金 弹性工作 员工旅游 "
Python开发工程师 上海 "民营公司 " " 大专  无需经验" 6-8千/月 " 五险一金 绩效奖金 年终奖金 餐饮补贴 "
"Python 开发工程师-数据汇聚、爬虫方向" 上海 "民营公司 " " 本科  3-4年" 1.5-2万/月 " 周末双休 全勤奖 节日福利 五险一金 "
Python开发工程师 广州-黄埔区 "外资（非欧美） " " 本科  3-4年" 1.5-3万/月 " 五险一金 定期体检 年终奖金 绩效奖金 "
Python开发工程师 上海-静安区 "民营公司 " " 大专  2年" 1.5-1.9万/月 " 五险一金 绩效奖金 弹性工作 交通补贴 "
python后端开发工程师 上海-静安区 "外资（非欧美） " " 本科  2年" 1.8-3.5万/月 " "
Python/Go 上海-浦东新区 "民营公司 " " 本科  3-4年" 1.8-3万/月 " 做五休二 周末双休 节日福利 五险一金 "
Python开发工程师（爬虫） 深圳-罗湖区 "民营公司 " " 大专  3-4年" 2-3万/月 " 五险一金 绩效奖金 年终奖金 商业险 "
Python开发工程师 上海-松江区 "民营公司 " " 大专  2年" 0.8-1万/月 " 五险一金 员工旅游 出国机会 定期体检 "
Python开发工程师 广州-越秀区 "民营公司 " " 本科  2年" 1.5-2.5万/月 " 带薪年假 做五休二 五险一金 年终奖金 "
Python开发工程师(上海松江) 上海 "民营公司 " " 本科  3-4年" 1.5-2.5万/月 " 五险一金 交通补贴 餐饮补贴 专业培训 "
Python开发工程师 深圳-龙岗区 "合资 " " 本科  3-4年" 1.5-2万/月 " 五险一金 免费班车 交通补贴 餐饮补贴 "
工具开发工程师-Python 上海-嘉定区 "合资 " " 本科  3-4年" 20-30万/年 " 五险一金 补充医疗保险 员工旅游 交通补贴 "
Python开发工程师 上海-浦东新区 "民营公司 " " 本科  3-4年" 1.6-2.5万/月 " 五险一金 下午茶，零食 弹性工作 年终奖金 "
"Python 后端工程师 (AI 平台)" 上海-闵行区 "民营公司 " " 本科  3-4年" 2.5-3万/月 " 五险一金 年终奖金 弹性工作 硅谷团队 "
Python高级开发工程师 深圳-宝安区 "民营公司 " " 本科  5-7年" 1.8-3万/月 " 五险一金 补充公积金 免费班车 员工旅游 "
python量化开发工程师 上海-浦东新区 "民营公司 " " 本科  5-7年" 1.5-2万/月 " 绩效奖金 年终奖金 弹性工作 专业培训 "
"Python Engineer" 上海-黄浦区 "外资（欧美） " " 本科  3-4年" 2-2.5万/月 " 五险一金 员工旅游 专业培训 补充医疗保险 "
Python后端开发工程师 广州-天河区 "民营公司 " " 本科  1年" 0.6-1万/月 " 五险一金 补充医疗保险 员工旅游 餐饮补贴 "
Python工程师（智能家居公司） 深圳-宝安区 "民营公司 " " 本科  2年" 1.5-3万/月 " 五险一金 年终奖金 定期体检 季度奖金 "
Python开发工程师 深圳-龙华区 "民营公司 " " 本科  3-4年" 1.5-2万/月 " 五险一金 员工旅游 餐饮补贴 通讯补贴 "
Python高级开发工程师 上海-徐汇区 "民营公司 " " 本科  5-7年" 1.6-3万/月 " "
高级Python工程师 上海 "合资 " " 本科  3-4年" 1.5-2万/月 " 五险一金 专业培训 弹性工作 定期体检 "
python 上海-长宁区 "外资（欧美） " " 本科  3-4年" 1.5-2.5万/月 " 五险一金 补充医疗保险 员工旅游 专业培训 "
外企Python开发工程师 上海 "民营公司 " " 大专  1年" 1.5-2万/月 " "
高级Python工程师 上海-松江区 "合资 " " 本科  5-7年" 2-2.5万/月 " 五险一金 周末双休 带薪年假 节日福利 "
Python初级开发工程师 深圳-福田区 "民营公司 " " 大专  2年" 6-8千/月 " 周末双休 带薪年假 五险一金 绩效奖金 "
资深Python工程师 上海-徐汇区 "民营公司 " " 5-7年" 4-5万/月 " 五险一金 餐饮补贴 通讯补贴 定期体检 "
Python工程师 深圳-南山区 "上市公司 " " 本科  5-7年" 1.5-2万/月 " 五险一金 员工旅游 餐饮补贴 绩效奖金 "
Python开发工程师 广州-海珠区 "民营公司 " " 大专  3-4年" 1.5-2万/月 " 五险一金 交通补贴 通讯补贴 绩效奖金 "
Python开发工程师（圆通科技） 上海-青浦区 "上市公司 " " 本科  5-7年" 2-3.5万/月 " 五险一金 免费班车 专业培训 绩效奖金 "
python开发工程师 上海-松江区 "上市公司 " " 本科  1年" 2-3.5万/月 " 五险一金 补充医疗保险 免费班车 员工旅游 "
